iter	Passed	Remaining
833	6737	41736
834	6746	41729
835	6753	41719
836	6763	41718
837	6769	41702
838	6778	41697
839	6786	41686
840	6794	41680
841	6802	41668
842	6810	41665
843	6817	41650
844	6828	41655
845	6835	41643
846	6844	41640
847	6852	41632
848	6860	41623
849	6869	41619
850	6876	41609
851	6885	41602
852	6892	41592
853	6900	41579
854	6907	41565
855	6915	41560
856	6922	41545
857	7011	42017
858	7019	42010
859	7026	41996
860	7034	41983
861	7042	41976
862	7050	41968
863	7058	41956
864	7065	41945
865	7073	41933
866	7078	41910
867	7085	41894
868	7092	41880
869	7100	41869
870	7107	41856
871	7115	41844
872	7122	41830
873	7130	41819
874	7137	41805
875	7145	41793
876	7151	41777
877	7159	41765
878	7166	41749
879	7173	41737
880	7180	41722
881	7187	41708
882	7195	41696
883	7202	41681
884	7209	41668
885	7216	41653
886	7223	41641
887	7230	41623
888	7237	41609
889	7244	41594
890	7251	41581
891	7254	41544
892	7261	41527
893	7268	41513
894	7274	41495
895	7281	41480
896	7288	41465
897	7295	41451
898	7303	41438
899	7310	41424
900	7317	41411
901	7324	41395
902	7331	41382
903	7338	41368
904	7345	41353
905	7353	41342
906	7359	41327
907	7367	41314
908	7374	41299
909	7381	41287
910	7388	41273
911	7395	41258
912	7402	41242
913	7408	41227
914	7415	41213
915	7422	41197
916	7429	41183
917	7436	41168
918	7443	41153
919	7450	41138
920	7457	41123
921	7464	41108
922	7471	41095
923	7478	41083
924	7485	41066
925	7492	41054
926	7500	41045
927	7508	41039
928	7516	41030
929	7524	41021
930	7531	41008
931	7540	41002
932	7547	40991
933	7555	40978
934	7563	40970
935	7569	40955
936	7578	40949
937	7585	40937
938	7593	40926
939	7600	40914
940	7608	40904
941	7615	40889
942	7622	40875
943	7628	40860
944	7635	40845
945	7643	40832
946	7650	40819
947	7657	40805
948	7664	40792
949	7671	40779
950	7678	40767
951	7686	40755
952	7693	40741
953	7700	40729
954	7707	40716
955	7714	40702
956	7721	40687
957	7727	40671
958	7735	40659
959	7741	40644
960	7749	40633
961	7756	40619
962	7762	40604
963	7770	40591
964	7776	40576
965	7783	40563
966	7790	40548
967	7797	40535
968	7804	40520
969	7811	40506
970	7818	40492
971	7824	40476
972	7829	40451
973	7836	40439
974	7844	40427
975	7851	40413
976	7858	40400
977	7865	40391
978	7872	40377
979	7879	40363
980	7886	40347
981	7893	40335
982	7900	40323
983	7908	40311
984	7915	40298
985	7922	40286
986	7926	40260
987	7933	40246
988	7941	40234
989	7947	40221
990	7955	40209
991	7962	40195
992	7969	40183
993	7976	40170
994	8115	40820
995	8124	40820
996	8133	40812
997	8141	40803
998	8149	40793
999	8157	40789
1000	8166	40784
1001	8174	40776
1002	8183	40770
1003	8191	40760
1004	8199	40750
1005	8206	40739
1006	8214	40728
1007	8221	40717
1008	8229	40706
1009	8236	40694
1010	8244	40682
1011	8251	40672
1012	8259	40661
1013	8266	40648
1014	8274	40637
1015	8281	40625
1016	8289	40613
1017	8296	40602
1018	8304	40591
1019	8311	40580
1020	8319	40569
1021	8326	40559
1022	8334	40547
1023	8341	40536
1024	8349	40525
1025	8357	40515
1026	8364	40504
1027	8372	40492
1028	8379	40479
1029	8386	40467
1030	8394	40455
1031	8401	40446
1032	8409	40433
1033	8416	40421
1034	8422	40405
1035	8430	40393
1036	8437	40383
1037	8445	40373
1038	8453	40362
1039	8460	40349
1040	8468	40339
1041	8475	40326
1042	8482	40316
1043	8491	40312
1044	8499	40301
1045	8508	40296
1046	8516	40287
1047	8523	40273
1048	8530	40261
1049	8538	40253
1050	8545	40240
1051	8553	40229
1052	8560	40218
1053	8569	40213
1054	8577	40203
1055	8585	40195
1056	8592	40180
1057	8597	40161
1058	8606	40153
1059	8613	40142
1060	8621	40132
1061	8629	40122
1062	8636	40111
1063	8644	40102
1064	8652	40091
1065	8659	40082
1066	8668	40075
1067	8676	40067
1068	8684	40061
1069	8693	40054
1070	8700	40044
1071	8708	40033
1072	8716	40023
1073	8723	40012
1074	8731	40000
1075	8738	39988
1076	8746	39979
1077	8753	39966
1078	8761	39958
1079	8768	39946
1080	8776	39934
1081	8783	39924
1082	8791	39915
1083	8798	39902
1084	8806	39893
1085	8813	39880
1086	8821	39871
1087	8828	39859
1088	8836	39848
1089	8843	39835
1090	8850	39823
1091	8858	39814
1092	8866	39805
1093	8874	39797
1094	8882	39788
1095	8889	39777
1096	8897	39766
1097	8904	39755
1098	8911	39742
1099	8919	39730
1100	8926	39718
1101	8934	39709
1102	8941	39699
1103	8949	39689
1104	8956	39676
1105	8964	39668
1106	8972	39657
1107	8980	39651
1108	8988	39639
1109	8995	39630
1110	9003	39620
1111	9011	39612
1112	9019	39601
1113	9027	39593
1114	9034	39581
